epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,321.558,0.63773,0.53858,1.18679,0.98388,0.99944,0.99458,0.93529,0.3763,0.27021,0.95254,0.000154982,0.000154982,0.000154982
152,323.441,0.57627,0.44911,1.11269,0.98481,1,0.99479,0.93396,0.36328,0.26046,0.95122,0.000149527,0.000149527,0.000149527
153,325.36,0.59175,0.52305,1.14862,0.98559,1,0.99479,0.92996,0.35737,0.25572,0.94708,0.000144161,0.000144161,0.000144161
154,327.284,0.61753,0.49031,1.18322,0.99655,1,0.995,0.93115,0.35323,0.25056,0.93565,0.000138883,0.000138883,0.000138883
155,329.177,0.69695,0.55258,1.22507,0.9971,1,0.995,0.9357,0.35172,0.24796,0.9299,0.000133695,0.000133695,0.000133695
156,331.081,0.62303,0.5054,1.16267,0.99826,1,0.995,0.9424,0.33756,0.244,0.9141,0.000128599,0.000128599,0.000128599
157,332.972,0.64752,0.51057,1.20838,0.99848,1,0.995,0.95,0.32871,0.24342,0.90596,0.000123596,0.000123596,0.000123596
158,335.069,0.60551,0.49119,1.10189,0.99854,1,0.995,0.95558,0.31865,0.24342,0.89112,0.000118687,0.000118687,0.000118687
159,337.171,0.5211,0.41918,1.09984,0.99849,1,0.995,0.95338,0.31643,0.24107,0.8868,0.000113873,0.000113873,0.000113873
160,339.091,0.57403,0.42185,1.14193,0.99834,1,0.995,0.95834,0.31482,0.2371,0.87804,0.000109156,0.000109156,0.000109156
161,341.252,0.6203,0.52686,1.19341,0.99815,1,0.995,0.95739,0.31251,0.23362,0.87611,0.000104537,0.000104537,0.000104537
162,343.206,0.57833,0.47223,1.15632,0.99765,1,0.995,0.96248,0.3204,0.2295,0.88181,0.000100016,0.000100016,0.000100016
163,345.306,0.61988,0.51938,1.15288,0.99749,1,0.995,0.96202,0.3316,0.23058,0.88936,9.55951e-05,9.55951e-05,9.55951e-05
164,347.234,0.60841,0.5126,1.15373,0.99733,1,0.995,0.95419,0.34636,0.23115,0.90042,9.12754e-05,9.12754e-05,9.12754e-05
165,349.126,0.57302,0.45016,1.13142,0.99734,1,0.995,0.95465,0.34506,0.23047,0.90041,8.70577e-05,8.70577e-05,8.70577e-05
166,351.034,0.57651,0.45633,1.1413,0.99755,1,0.995,0.95726,0.3391,0.2298,0.89805,8.29431e-05,8.29431e-05,8.29431e-05
167,352.952,0.58003,0.43773,1.12048,0.99772,1,0.995,0.96262,0.33186,0.22723,0.89325,7.89327e-05,7.89327e-05,7.89327e-05
168,355.038,0.59599,0.51162,1.15039,0.99781,1,0.995,0.96506,0.31586,0.21832,0.88113,7.50274e-05,7.50274e-05,7.50274e-05
